,Name,Category,Category_2,global_id,index,pop_place
0,"- 14 прясел крепостной стены, 1686 г., 1697-1698 гг., 1711 г.",Культура ,Архитектура,13780827.0,8328,746.0
1,- 18 прясел крепостных стен,Культура ,Архитектура,13414672.0,7843,529.5
2,"- «Английский сад» за прудом - роща «Рагово», вторая половина XIX в.",Культура ,Архитектура,37365714.0,8586,35907.0
3,"- «Дом священника» (бывш. Служебный корпус Главной московской аптеки), XVI, сер. XVIII в., 1832 г., арх. Е.Д.Тюрин",Культура ,Архитектура,2951008.0,1206,34.0
4,"- «Духовная семинария», кон. XIX в.",Культура ,Архитектура,13415082.0,8019,60712.0
5,"- «Карамзинская» аллея, 1808 г.",Культура ,Архитектура,37365694.0,8574,35906.0
6,- «Клин»,Культура ,Архитектура,37365725.0,8592,12241.0
7,"- «Лабазы», XVIII в.",Культура ,Архитектура,13414905.0,7940,704.0
8,"- «Назаровская» башня, 1895 г., арх. К.М.Быковский",Культура ,Архитектура,2949468.0,675,782.0
9,"- «Новая» трапезная, 1677-1680 гг., арх. П.Потапов",Культура ,Архитектура,2955803.0,2931,879.0
10,"- «Новое здание», конец XVIII в. - начало XIX в. В 1837 г. перестроено арх. Е.Д.Тюриным из дома Пашковой (арх. В.И.Баженов)",Культура ,Архитектура,2950304.0,952,34.0
11,"- «Новый музей», 1896 г., арх. Эрихсон А.Э.",Культура ,Архитектура,2954632.0,2513,82.0
12,"- «Новый» собор, 1684-1689 гг., 1748 г.",Культура ,Архитектура,2956808.0,3265,878.0
13,- «Площадь парадов» с местом для костра и трибуной со ступенями,Культура ,Архитектура,7622903.0,5019,4681.0
14,"- «Старая» трапезная, XVI в.",Культура ,Архитектура,2959448.0,4199,879.0
15,"- «Старое здание», 1786-1793 гг., арх. М.Ф.Казаков. В 1817-1819 гг. перестроено арх-рами Д.И.Жилярди и А.Г.Григорьевым интерьеры (актовый зал)",Культура ,Архитектура,2953271.0,2034,34.0
16,"- «Старый музей», 1892 г., арх. Фрейденберг Б.В.",Культура ,Архитектура,2957263.0,3445,82.0
17,"- «Старый» производственный корпус, 1888 г., 1892 г., 1894 г., архитекторы Ф.В.Рыбинский, Ф.Ф.Воскресенский",Культура ,Архитектура,2951059.0,1227,379.0
18,"- «Старый» собор, 1591-1593 гг. Трапезная и приделы, 1678-1679 гг. Шатровая колокольня, конец XVII в.",Культура ,Архитектура,2955245.0,2733,878.0
19,"- «Швейцарский» домик, 1870-е гг., арх. Н.Л.Бенуа",Культура ,Архитектура,2949850.0,796,27365.5
20,"- «Шефский дом» , конец XVIII в., арх. М.Ф.Казаков",Культура ,Архитектура,2952951.0,1913,509.0
21,"- Агрономический институт, 1904 г., 1940-е гг.",Культура ,Архитектура,2950924.0,1173,12.0
22,"- Административно-жилой корпус, 1874 г., 1909-1910 гг., 1932 г., архитекторы Н.К.Жуков, М.Н.Глейниг, инженер Н.А.Сытенко",Культура ,Архитектура,2952814.0,1857,80.0
23,"- Административно-производственный корпус, 1905-1907 гг., архитектор А.М.Калмыков, техник архитектуры А.Ф.Карст",Культура ,Архитектура,2954431.0,2440,243.0
24,"- Административное здание, 1901 г.",Культура ,Архитектура,13414583.0,7817,224.0
25,- Административный корпус,Культура ,Архитектура,2955943.0,2974,1870.5
26,"- Административный корпус с переходными галереями, 1909 г., арх. И.А.Иванов-Шиц",Культура ,Архитектура,2954130.0,2328,220.0
27,"- Административный корпус станции с входом, арх. А. Самойлов",Культура ,Архитектура,4009144.0,4800,6329.0
28,"- Административный корпус, 1892 г., архитектор М.К.Геппенер, 1904 г.",Культура ,Архитектура,2953924.0,2261,23.0
29,"- Административный корпус, 1905 г.",Культура ,Архитектура,1011664688.0,8954,2813.0
30,"- Административный корпус, 1905-1907 гг., архитектор А.М.Калмыков, техник архитектуры А.Ф.Карст",Культура ,Архитектура,2950408.0,991,243.0
31,"- Административный корпус, 1920-е - 1930-е гг., архитектор К.С. Мельников",Культура ,Архитектура,2950228.0,924,333.0
32,"- Административный корпус, 1959 г., архитектор С.Г. Иоффе",Культура ,Архитектура,2951647.0,1441,1181.0
33,"- Аккумуляторная станция с квартирами для служащих, 1894-1895 гг., архитектор Б.В. Фрейденберг",Культура ,Архитектура,2950348.0,966,7.0
34,- Амбар,Культура ,Архитектура,37248119.0,8382,7004.0
35,- Амбар восточный,Культура ,Архитектура,37365747.0,8603,10129.0
36,- Амбар западный,Культура ,Архитектура,37365748.0,8604,10129.0
37,"- Амбар, каретный сарай",Культура ,Архитектура,2958587.0,3879,109.0
38,"- Амбар, кон. XIX - нач. XX вв.",Культура ,Архитектура,2954699.0,2543,7215.0
39,- Амбулатория Алексеевская,Культура ,Архитектура,2956319.0,3106,252.0
40,"- Амбулаторный корпус, 1890-е г., архитектор В.В.Барков",Культура ,Архитектура,4487207.0,4855,186.0
41,"- Амбулаторный корпус, 1901 г., архитектор И.А. Иванов-Шиц",Культура ,Архитектура,2951259.0,1298,313.0
42,"- Амбулаторный корпус, 1909 г., архитектор И.А. Иванов-Шиц",Культура ,Архитектура,2949662.0,730,120.0
43,"- Анатомический корпус, 1926 г.",Культура ,Архитектура,2954642.0,2520,23.0
44,"- Анатомический театр, 1909 г., архитектор А.Н.Соколов",Культура ,Архитектура,2956160.0,3048,178.0
45,"- Анатомический театр,1820-е гг.,1858, 1867-1870 гг., арх. Овчинников,Жуков,Соколов",Культура ,Архитектура,2952857.0,1871,87.0
46,- Аптека и амбулатория,Культура ,Архитектура,2952740.0,1827,961.0
47,"- Аптечный корпус, 1887 г., арх. Б.В.Фрейденберг",Культура ,Архитектура,2960874.0,4695,3123.0
48,- Арестный дом,Культура ,Архитектура,2957790.0,3617,1325.5
49,"- Арсенал, 1702-1736 гг., строители Д.И.Иванов, К.Конрад",Культура ,Архитектура,13414660.0,7838,498.0
50,"- Архангельский собор, 1505-1509 гг., арх. Алевиз Новый. Фрески XVI-XVII вв.",Культура ,Архитектура,13414723.0,7867,1994.0
51,"- Аудиторный корпус, 1904 г., архитектор К.М.Быковский",Культура ,Архитектура,2950845.0,1143,34.0
52,"- Аудиторный корпус, 1912 г., архитектор С.И.Соловьев, 1936 г.",Культура ,Архитектура,2956467.0,3154,215.0
53,"- Аэродинамическая лаборатория с ветросиловой башней, 1924 г., архитекторы В.А.Кузнецов, В.Я.Мовчан, И.С.Николаев, А.С.Фисенко",Культура ,Архитектура,272398132.0,8670,1750.0
54,- Базисный склад,Культура ,Архитектура,2959520.0,4224,2042.5
55,- Баня,Культура ,Архитектура,7631203.0,5089,1280.0
56,"- Баня, XVIII в.",Культура ,Архитектура,2954448.0,2447,878.0
57,"- Баня, конец XIX в.",Культура ,Архитектура,2953287.0,2038,191.0
58,"- Барак для женщин, больных туберкулезом, им. С.А. Карзинкиной, 1908 г., арх. В.В.Лебедев",Культура ,Архитектура,4481721.0,4849,3732.0
59,- Барак для заразных больных,Культура ,Архитектура,2958374.0,3811,153.0
60,- Башни Николо-Карельского монастыря,Культура ,Архитектура,2951669.0,1452,8321.0
61,- Башни: Водовзводная и Водяная,Культура ,Архитектура,2957377.0,3483,5338.0
62,- Башня главных ворот,Культура ,Архитектура,7687129.0,5572,1742.0
63,- Башня ограды,Культура ,Архитектура,13415044.0,7994,33150.0
64,- Башня пятигранная на западной стене,Культура ,Архитектура,2950211.0,919,241.0
65,"- Башня северо-восточная, 1833-1853 гг.",Культура ,Архитектура,2959803.0,4312,494.0
66,- Башня северо-западная,Культура ,Архитектура,2959256.0,4127,1742.0
67,"- Башня северо-западная (основание) с остатками западной стены, XVII в.",Культура ,Архитектура,7802483.0,6154,960.0
68,- Башня угловая северо-восточная со служебной постройкой,Культура ,Архитектура,2955193.0,2714,444.0
69,- Башня угловая северо-западная,Культура ,Архитектура,2951349.0,1329,444.0
70,- Башня угловая юго-восточная,Культура ,Архитектура,2951249.0,1297,342.5
71,- Башня угловая юго-западная,Культура ,Архитектура,2954434.0,2442,444.0
72,- Башня юго-восточная,Культура ,Архитектура,2958686.0,3916,1742.0
73,"- Башня юго-восточная, 1840-е гг.",Культура ,Архитектура,37248092.0,8369,62394.0
74,- Башня юго-западная,Культура ,Архитектура,2956387.0,3128,1742.0
75,"- Башня юго-западная, 1833-1853 гг.",Культура ,Архитектура,7748841.0,5995,1041.0
76,"- Башня юго-западная, нач. XX в.",Культура ,Архитектура,37248090.0,8368,34439.0
77,"- Безымянное, I пол. XIX в., мрамор",Культура ,Архитектура,7687842.0,5579,677.0
78,- Белокаменная ограда,Культура ,Архитектура,13380720.0,6823,1779.0
79,"- Белокаменные ворота, конец XVIII в.",Культура ,Архитектура,2952947.0,1911,142.0
80,"- Белокаменные пилоны ворот, XIX в.",Культура ,Архитектура,7674362.0,5459,354.0
81,"- Белокаменный октагон (водокачка), начало XIX в., архитектор Д.И.Жилярди",Культура ,Архитектура,2960843.0,4686,70.0
82,"- Белокаменный памятник-колонна на острове, начало XIX века",Культура ,Архитектура,7826626.0,6293,70.0
83,"- Березовая - «Карамзинская» роща, 1808 г.",Культура ,Архитектура,37365685.0,8569,64812.0
84,"- Беседка им. 800-летия Москвы с партером и фонтанами, 1947 г., арх. С.Я.Иконников, скульптор А.Котихин",Культура ,Архитектура,7749595.0,6005,2689.0
85,"- Беседка, 1892 г.",Культура ,Архитектура,7722457.0,5828,509.0
86,- Беседка-ротонда восточная,Культура ,Архитектура,7833473.0,6365,446.0
87,- Беседка-ротонда западная,Культура ,Архитектура,7632308.0,5099,446.0
88,"- Беседка-ротонда, нач. XX в.",Культура ,Архитектура,13415051.0,8001,67695.0
89,- Беседки: «Миловида»,Культура ,Архитектура,2958034.0,3690,7081.0
90,- Библиотека и правление Благотворительного общества,Культура ,Архитектура,2956775.0,3251,80.0
91,"- Библиотека, 1901 г., архитектор К.М.Быковский",Культура ,Архитектура,2956862.0,3286,34.0
92,"- Благовещенский собор, 1484-1489 гг., строили псковские мастера. Приделы и галереи, 1563 г. Фрески, XVI в. Иконостас конца XIV в., живописцы Ф.Грек, А.Рублев, Д.Черный",Культура ,Архитектура,13414771.0,7883,1994.0
93,- Блоки с землей городов-героев,Культура ,Архитектура,1016109888.0,8979,498.0
94,"- Богадельный корпус, 1901 г., архитекторы А.Л.Обер, А.Ф.Мейснер",Культура ,Архитектура,2951539.0,1396,2870.5
95,- Богадельня,Культура ,Архитектура,2949609.0,710,60.0
96,- Богадельня,Культура ,Архитектура,2956393.0,3129,80.0
97,- Богадельня,Культура ,Архитектура,2956466.0,3153,755.0
98,- Богадельня (училище),Культура ,Архитектура,2951571.0,1409,202.0
99,"- Богадельня Бугровых, 2-я половина XIX в.",Культура ,Архитектура,2956518.0,3172,1990.0
100,- Богадельня Рахмановых,Культура ,Архитектура,2959927.0,4353,1132.0
101,"- Богадельня, 1806-1810 гг.",Культура ,Архитектура,2958205.0,3747,1448.0
102,"- Богадельня, 1842 г., 1892 г., 1930-е гг., архитектор В.А.Балашов",Культура ,Архитектура,2954794.0,2575,25.0
103,"- Богадельня, 1879-1880 гг., архитектор Д.И.Певницкий",Культура ,Архитектура,2951006.0,1205,297.0
104,"- Богадельня, 1882 г.",Культура ,Архитектура,4479928.0,4840,176.0
